prenom,nom,lien,id_club
Estêvão,,https://www.transfermarkt.fr/estevao/profil/spieler/1056993,4
Pedro,Neto,https://www.transfermarkt.fr/pedro-neto/profil/spieler/487465,4
Raheem,Sterling,https://www.transfermarkt.fr/raheem-sterling/profil/spieler/134425,4
João,Pedro,https://www.transfermarkt.fr/joao-pedro/profil/spieler/626724,4
Liam,Delap,https://www.transfermarkt.fr/liam-delap/profil/spieler/610849,4
Marc,Guiu,https://www.transfermarkt.fr/marc-guiu/profil/spieler/938158,4
Guglielmo,Vicario,https://www.transfermarkt.fr/guglielmo-vicario/profil/spieler/286047,5
Antonín,Kinský,https://www.transfermarkt.fr/antonin-kinsky/profil/spieler/725912,5
Brandon,Austin,https://www.transfermarkt.fr/brandon-austin/profil/spieler/428016,5
Cristian,Romero,https://www.transfermarkt.fr/cristian-romero/profil/spieler/355915,5
Micky,van de Ven,https://www.transfermarkt.fr/micky-van-de-ven/profil/spieler/557459,5
Radu,Drăgușin,https://www.transfermarkt.fr/radu-dragusin/profil/spieler/568559,5
Kevin,Danso,https://www.transfermarkt.fr/kevin-danso/profil/spieler/263236,5
Ben,Davies,https://www.transfermarkt.fr/ben-davies/profil/spieler/192765,5
Kota,Takai,https://www.transfermarkt.fr/kota-takai/profil/spieler/671108,5
Destiny,Udogie,https://www.transfermarkt.fr/destiny-udogie/profil/spieler/556385,5
Djed,Spence,https://www.transfermarkt.fr/djed-spence/profil/spieler/483348,5
Pedro,Porro,https://www.transfermarkt.fr/pedro-porro/profil/spieler/553875,5
João,Palhinha,https://www.transfermarkt.fr/joao-palhinha/profil/spieler/257455,5
Yves,Bissouma,https://www.transfermarkt.fr/yves-bissouma/profil/spieler/410425,5
Lucas,Bergvall,https://www.transfermarkt.fr/lucas-bergvall/profil/spieler/866246,5
Archie,Gray,https://www.transfermarkt.fr/archie-gray/profil/spieler/922693,5
Pape,Matar Sarr,https://www.transfermarkt.fr/pape-matar-sarr/profil/spieler/568693,5
Rodrigo,Bentancur,https://www.transfermarkt.fr/rodrigo-bentancur/profil/spieler/354362,5
Xavi,Simons,https://www.transfermarkt.fr/xavi-simons/profil/spieler/566931,5
Dejan,Kulusevski,https://www.transfermarkt.fr/dejan-kulusevski/profil/spieler/431755,5
James,Maddison,https://www.transfermarkt.fr/james-maddison/profil/spieler/294057,5
Wilson,Odobert,https://www.transfermarkt.fr/wilson-odobert/profil/spieler/743498,5
Mohammed,Kudus,https://www.transfermarkt.fr/mohammed-kudus/profil/spieler/543499,5
Brennan,Johnson,https://www.transfermarkt.fr/brennan-johnson/profil/spieler/470607,5
Dominic,Solanke,https://www.transfermarkt.fr/dominic-solanke/profil/spieler/258889,5
Mathys,Tel,https://www.transfermarkt.fr/mathys-tel/profil/spieler/801734,5
Randal,Kolo Muani,https://www.transfermarkt.fr/randal-kolo-muani/profil/spieler/487969,5
Richarlison,,https://www.transfermarkt.fr/richarlison/profil/spieler/378710,5
Dane,Scarlett,https://www.transfermarkt.fr/dane-scarlett/profil/spieler/670883,5
Aaron,Ramsdale,https://www.transfermarkt.fr/aaron-ramsdale/profil/spieler/427568,6
Nick,Pope,https://www.transfermarkt.fr/nick-pope/profil/spieler/192080,6
Max,Thompson,https://www.transfermarkt.fr/max-thompson/profil/spieler/660768,6
Mark,Gillespie,https://www.transfermarkt.fr/mark-gillespie/profil/spieler/142389,6
John,Ruddy,https://www.transfermarkt.fr/john-ruddy/profil/spieler/29712,6
Sven,Botman,https://www.transfermarkt.fr/sven-botman/profil/spieler/361093,6
Malick,Thiaw,https://www.transfermarkt.fr/malick-thiaw/profil/spieler/521964,6
Fabian,Schär,https://www.transfermarkt.fr/fabian-schar/profil/spieler/135343,6
Dan,Burn,https://www.transfermarkt.fr/dan-burn/profil/spieler/134270,6
Jamaal,Lascelles,https://www.transfermarkt.fr/jamaal-lascelles/profil/spieler/183318,6
Lewis,Hall,https://www.transfermarkt.fr/lewis-hall/profil/spieler/670858,6
Alex,Murphy,https://www.transfermarkt.fr/alex-murphy/profil/spieler/900601,6
Tino,Livramento,https://www.transfermarkt.fr/tino-livramento/profil/spieler/503981,6
